Date_DD_MM_YY	Date_YYYY_MM_DD	Latitude	Longitude	Place	Value
7-May-58	19580507	-67.60269444	62.87380556	Mawson	749
14-May-58	19580514	-67.60269444	62.87380556	Mawson	775
16-May-58	19580516	-68.57661111	77.96738889	Davis	673
21-May-58	19580521	-67.60269444	62.87380556	Mawson	864
28-May-58	19580528	-67.60269444	62.87380556	Mawson	916
30-May-58	19580530	-68.57661111	77.96738889	Davis	762
9-Jun-58	19580609	-67.60269444	62.87380556	Mawson	972
13-Jun-58	19580613	-68.57661111	77.96738889	Davis	889
18-Jun-58	19580618	-67.60269444	62.87380556	Mawson	1016
27-Jun-58	19580627	-68.57661111	77.96738889	Davis	1003
5-Jul-58	19580705	-67.60269444	62.87380556	Mawson	1086
9-Jul-58	19580709	-67.60269444	62.87380556	Mawson	1080
11-Jul-58	19580711	-68.57661111	77.96738889	Davis	1092
16-Jul-58	19580716	-67.60269444	62.87380556	Mawson	1099
17-Jul-58	19580717	-68.57661111	77.96738889	Davis	1143
23-Jul-58	19580723	-67.60269444	62.87380556	Mawson	1130
26-Jul-58	19580726	-68.57661111	77.96738889	Davis	1168
30-Jul-58	19580730	-67.60269444	62.87380556	Mawson	1181
6-Aug-58	19580806	-67.60269444	62.87380556	Mawson	1226
8-Aug-58	19580808	-68.57661111	77.96738889	Davis	1283
13-Aug-58	19580813	-67.60269444	62.87380556	Mawson	1257
20-Aug-58	19580820	-67.60269444	62.87380556	Mawson	1283
22-Aug-58	19580822	-68.57661111	77.96738889	Davis	1372
29-Aug-58	19580829	-67.60269444	62.87380556	Mawson	1340
3-Sep-58	19580903	-67.60269444	62.87380556	Mawson	1372
5-Sep-58	19580905	-68.57661111	77.96738889	Davis	1486
10-Sep-58	19580910	-67.60269444	62.87380556	Mawson	1372
19-Sep-58	19580919	-67.60269444	62.87380556	Mawson	1429
20-Sep-58	19580920	-68.57661111	77.96738889	Davis	1549
24-Sep-58	19580924	-67.60269444	62.87380556	Mawson	1448
1-Oct-58	19581001	-67.60269444	62.87380556	Mawson	1473
7-Oct-58	19581007	-68.57661111	77.96738889	Davis	1664
8-Oct-58	19581008	-67.60269444	62.87380556	Mawson	1486
15-Oct-58	19581015	-67.60269444	62.87380556	Mawson	1499
22-Oct-58	19581022	-67.60269444	62.87380556	Mawson	1499
29-Oct-58	19581029	-67.60269444	62.87380556	Mawson	1486
5-Nov-58	19581105	-67.60269444	62.87380556	Mawson	1467
12-Nov-58	19581112	-67.60269444	62.87380556	Mawson	1441
19-Nov-58	19581119	-67.60269444	62.87380556	Mawson	1416
26-Nov-58	19581126	-67.60269444	62.87380556	Mawson	1391
3-Dec-58	19581203	-67.60269444	62.87380556	Mawson	1359
11-Dec-58	19581211	-67.60269444	62.87380556	Mawson	1321
17-Dec-58	19581217	-67.60269444	62.87380556	Mawson	1295
24-Dec-58	19581224	-67.60269444	62.87380556	Mawson	1264
31-Dec-58	19581231	-67.60269444	62.87380556	Mawson	1213
27-Mar-62	19620327	-67.60269444	62.87380556	Mawson	1
29-Mar-62	19620329	-67.60269444	62.87380556	Mawson	129
30-Mar-62	19620330	-67.60269444	62.87380556	Mawson	167
31-Mar-62	19620331	-67.60269444	62.87380556	Mawson	190
10-Apr-62	19620410	-67.60269444	62.87380556	Mawson	372
19-Jul-62	19620719	-67.60269444	62.87380556	Mawson	1240
24-Jul-62	19620724	-67.60269444	62.87380556	Mawson	1260
29-Jul-62	19620729	-67.60269444	62.87380556	Mawson	1284
3-Aug-62	19620803	-67.60269444	62.87380556	Mawson	1318
10-Aug-62	19620810	-67.60269444	62.87380556	Mawson	1370
16-Aug-62	19620816	-67.60269444	62.87380556	Mawson	1397
22-Aug-62	19620822	-67.60269444	62.87380556	Mawson	1400
31-Aug-62	19620831	-67.60269444	62.87380556	Mawson	1450
6-Sep-62	19620906	-67.60269444	62.87380556	Mawson	1465
13-Sep-62	19620913	-67.60269444	62.87380556	Mawson	1480
16-Sep-62	19620916	-67.60269444	62.87380556	Mawson	1504
19-Sep-62	19620919	-67.60269444	62.87380556	Mawson	1506
22-Sep-62	19620922	-67.60269444	62.87380556	Mawson	1505
25-Sep-62	19620925	-67.60269444	62.87380556	Mawson	1510
28-Sep-62	19620928	-67.60269444	62.87380556	Mawson	1509
1-Oct-62	19621001	-67.60269444	62.87380556	Mawson	1509
4-Oct-62	19621004	-67.60269444	62.87380556	Mawson	1507
7-Oct-62	19621007	-67.60269444	62.87380556	Mawson	1501
10-Oct-62	19621010	-67.60269444	62.87380556	Mawson	1494
13-Oct-62	19621013	-67.60269444	62.87380556	Mawson	1490
16-Oct-62	19621016	-67.60269444	62.87380556	Mawson	1484
19-Oct-62	19621019	-67.60269444	62.87380556	Mawson	1488
22-Oct-62	19621022	-67.60269444	62.87380556	Mawson	1484
25-Oct-62	19621025	-67.60269444	62.87380556	Mawson	1483
28-Oct-62	19621028	-67.60269444	62.87380556	Mawson	1478
31-Oct-62	19621031	-67.60269444	62.87380556	Mawson	1475
3-Nov-62	19621103	-67.60269444	62.87380556	Mawson	1472
6-Nov-62	19621106	-67.60269444	62.87380556	Mawson	1460
9-Nov-62	19621109	-67.60269444	62.87380556	Mawson	1457
12-Nov-62	19621112	-67.60269444	62.87380556	Mawson	1445
16-Nov-62	19621116	-67.60269444	62.87380556	Mawson	1437
18-Nov-62	19621118	-67.60269444	62.87380556	Mawson	1423
21-Nov-62	19621121	-67.60269444	62.87380556	Mawson	1418
25-Nov-62	19621125	-67.60269444	62.87380556	Mawson	1406
27-Nov-62	19621127	-67.60269444	62.87380556	Mawson	1405
30-Nov-62	19621130	-67.60269444	62.87380556	Mawson	1393
3-Dec-62	19621203	-67.60269444	62.87380556	Mawson	1376
6-Dec-62	19621206	-67.60269444	62.87380556	Mawson	1365
7-Dec-62	19621207	-67.60269444	62.87380556	Mawson	1359
22-Jan-63	19630122	-67.60269444	62.87380556	Mawson	1
25-Mar-65	19650325	-67.60269444	62.87380556	Mawson	1
1-Apr-65	19650401	-67.60269444	62.87380556	Mawson	220
6-Apr-65	19650406	-67.60269444	62.87380556	Mawson	320
10-Apr-65	19650410	-67.60269444	62.87380556	Mawson	380
15-Apr-65	19650415	-67.60269444	62.87380556	Mawson	450
20-Apr-65	19650420	-67.60269444	62.87380556	Mawson	500
