51	2040	2003	0.053	0.055	0.088	0.084	0.093	0.073	0.071	0.077	0.093	0.107	0.059	0.052	0.107	355	97	1	32.8364	-117.1289	135
52	2040	2004	0.062	0.062	0.079	0.102	0.105	0.076	0.071	0.072	0.077	0.1	0.054	0.045	0.105	363	99	1	32.8364	-117.1289	135
53	2040	2005	0.049	0.054	0.075	0.084	0.084	0.064	0.071	0.069	0.079	0.065	0.068	0.048	8.399999	361	99	1	32.8364	-117.1289	135
54	2040	2006	0.065	0.072	0.061	0.071	0.071	0.108	0.09	0.066	0.08	0.079	0.085	0.05	0.108	356	98	1	32.8364	-117.1289	135
55	2102	1980	0.05	0.09	0.07	0.09	0.08	0.09	0.13	0.08	0.12	0.1	0.09	0.06	0.13	357	97	1	38.016945	-121.883614	9
56	2102	1981	0.04	0.05	0.06	0.11	0.09	0.11	0.1	0.11	0.1	0.09	0.06	0.03	0.11	357	97	1	38.016945	-121.883614	9
57	2102	1982	0.06	0.06	0.07	0.09	0.1	0.06	0.08	0.1	0.1	0.1	0.05	0.04	0.1	362	99	1	38.016945	-121.883614	9
58	2102	1983	0.03	0.05	0.06	0.07	0.11	0.14	0.08	0.13	0.11	0.08	0.04	0.03	0.14	348	96	1	38.016945	-121.883614	9
59	2102	1984	0.06	0.06	0.07	0.09	0.09	0.07	0.16	0.12	0.11	0.08	0.05	0.04	0.16	353	98	1	38.016945	-121.883614	9
60	2102	1985	0.04	0.07	0.06	0.14	0.08	0.09	0.1	0.07	0.08	0.1	0.07	0.03	0.14	363	100	1	38.016945	-121.883614	9
61	2102	1986	0.03	0.06	0.08	0.07	0.09	0.08	0.08	0.1	0.08	0.09	0.08	0.05	0.1	353	98	1	38.016945	-121.883614	9
62	2102	1987	0.05	0.05	0.07	0.1	0.15	0.11	0.08	0.13	0.1	0.11	0.05	0.04	0.15	355	98	1	38.016945	-121.883614	9
63	2102	1988	0.05	0.07	0.1	0.12	0.12	0.08	0.12	0.09	0.1	0.09	0.06	0.04	0.12	348	98	1	38.016945	-121.883614	9
64	2102	1989	0.05	0.05	0.05	0.11	0.07	0.09	0.1	0.08	0.1	0.11	0.06	0.04	0.11	363	100	1	38.016945	-121.883614	9
